name,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,target
astur4444,male,76 y.o.,"Buenos Aires, CABA, Argentina",divorced,astur4444,white,psicologo,-,from 48 to 56,1-2 living elsewhere,Straight,Atheist,non-smoker,never,Marriage,Female
JC281069,male,54 y.o.,"Cuernavaca, Mor., México",separated,JC281069,hispanic,Ingeniero Mecánico,"Soy una persona leal, alegre, empática y romántica. Me gusta emprender y disfrutar lo que hago.",from 36 to 50,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
nadia031,female,52 y.o.,"Durban, South Africa",single,nadia031,asian,sales,-,from 19 to 86,no children,Straight,Spiritual,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",Male
Geo81,male,42 y.o.,"Hyattsville, MD, USA",married,Geo81,hispanic,marketing,"busco pasar buenos momentos con una persona alegre,q le guste reírse, hacer tonterias",from 21 to 55,1-2 living with me,Straight,Other,non-smoker,social drinker,"Fun, Friendship, Romance",Female
Dazzer69,male,54 y.o.,"Tenerife, Santa Cruz de Tenerife, Spain",single,Dazzer69,white,-,-,from 19 to 86,no children,Straight,Other,social smoker,social drinker,Fun,Female
Julio_Ec,male,37 y.o.,"Chone, Ecuador",divorced,Julio_Ec,hispanic,Unlocker,-,from 19 to 40,want children,Straight,Spiritual,light smoker,never,"Friendship, Romance, Serious Relationship, Marriage",Female
thomasquinteros,male,41 y.o.,"San Justo, Buenos Aires Province, Argentina",single,thomasquinteros,white,administrativo,-,from 38 to 86,no children,Homosexual,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage",Male
Deportistayfriki,male,31 y.o.,"Tizayuca, Hgo., México",single,Deportistayfriki,hispanic,-,-,from 24 to 27,no children,Straight,Other,non-smoker,occasional drinker,Serious Relationship,Female
JanVon,male,50 y.o.,"Prague, Czechia",single,JanVon,white,Diplomaci office and Persident ecology ecorecto eu,"I wait true love forever with girl from the Israel and My work is President ecology ecorecto eu company.
My love is only for one girl and I have for you true love forever. Risi",from 19 to 39,no children,Straight,Other,non-smoker,social drinker,"Serious Relationship, Marriage",Female
Goodvibes,female,44 y.o.,"Allamuchy Township, NJ, USA",divorced,Goodvibes,hispanic,Educator,"I am passionate about living the good life. I love to explore the world and enjoy everything that life has to offer.
I am looking for a romantic, family oriented, hardworking gentleman who is culturally sensitive and fun to be around. My ideal partner is an adventurous risk taker who finds pleasure in the little things in life.",from 30 to 42,no children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Male
